Date,Category,Title,Description,URL
Aug-91,Abuse & Neglect, Timothy Smythe - A Patient at Central New York Psychiatric Center,This report is of a review by the Commission of unreported incidents of extortion of patients enforced by physical and sexual assault at Central New York Psychiatric Center (CNYPC) revealing a breakdown in the facility's handling of such incidents which jeopardized patients safety.,
Sep-93,Policy,  Serving Parents Who Are Mentally Retarded: A Review of Eight Parenting Programs in NYS,,
Sep-93,Policy,"Parenting With Special Needs: Parents Who Are Mentally Retarded and Their Children,",,
Aug-96,Quality of Care,A Brief Report on Active Programming in State Psychiatric Centers: Has Anything Changed? ,"While conducting a previous review and follow-up on living conditions at all state psychiatric centers, the Commission had found that although conditions varied among facilities, a common factor eroding the quality of life for patients was idleness. Without meaningful activities, most patients spent their days either sitting in overcrowded dayrooms, wandering, sleeping or staring at television, with few opportunities to develop or retain skills necessary for maintaining a sense of worth and good mental health. Partly in response to the Commission's published recommendations for constructive patient programming or daily activity, the Legislature in 1988 passed legislation requiring the Office of Mental Health (OMH) to establish standards for active programming, including consideration of the social, vocational, educational and recreational needs of each patient, and a minimum number of hours of activities to be provided each patient weekly unless exempted for medical or clinical reasons.",
Jul-82,Quality of Care,A Follow-up of Implementation of Commission Recommendations To Improve Medical Care: Craig Developmental Center,"This review of medical care at Craig Developmental Center was undertaken by the Commission as an outgrowth of our long-standing concern over the quality of medical services available to residents of that facility. Our concern stems from investigations into deaths of residents of Craig Developmental Center conducted by the Commission and the Mental Hygiene Medical Review Board, as required by law.",
Aug-84,Quality of Care,A Follow-up of Implementation of Commission Recommendations to Improve Patient Care: South Beach Psychiatric Center,"South Beach Psychiatric Center made substantial and significant progress in upgrading the caliber of care afforded to patients, according to this follow-up report issued by the Commission. Four previous Commission reports on investigations of circumstances surrounding the unusual deaths of four patients at the psychiatric center had cited deficiencies in such vital areas of patient care as: medication administration practices; restraint and seclusion practices; the availability and working order of emergency medical equipment; and treatment and discharge planning practices.",
Nov-98,Quality of Care,A Review of 32 Office of Mental Health Supervised Community Residences,"This Commission report concludes that many community residences operated directly or certified by the State Office of Mental Health (OMH) provide safe, nurturing and rehabilitative places to live. Yet, other such residences have significant deficiencies, as in this report of unannounced review of 32 randomly chosen residences statewide.",
April 1979,Quality of Care,A Review of Broome Developmental Services,"This report is the result of visits to Broome Developmental Center (BDC) in response to concerns and allegations raised by the Board of Visitors, the Parents Group, a local Assemblyman, facility staff members, members of the community and newspaper reports. The major issues that emerged were associated with staffing.",
May-84,Quality of Care,A Review of Living Conditions in Nine New York State Psychiatric Centers,"This Commission report reviews basic living conditions at nine State psychiatric centers, (Kingsboro, Bronx, South Beach, Manhattan, Buffalo, Rochester, Middletown, Pilgrim, and Binghamton).",
Feb-83,Quality of Care,A Review of Private Residential Facilities for the Mentally Retarded: Their Position in the Continuum of Care for Developmentally Disabled and Mentally Retarded Individuals,"Tremendous variations in the environmental quality, caliber of services provided and in specific areas of management at 10 private residential facilities serving significantly-varying mentally retarded populations point to basic internal weaknesses in the regulatory process, according to this Commission report. The Commission's report on a review of 10 of New York State's 18 ""private schools"" for the mentally retarded, cites some programs as exceptional while highlighting others with significant deficiencies, in the areas of environment, medication administration practices and the assessment and programming of clients. All private schools are certified and regulated by the State's Office of Mental Retardation and Developmental Disabilities (OMRDD).",
May 1982,Quality of Care,A Review of Selected Aspects of Patient Care: Manhattan Psychiatric Center 1979-81,"This is a report on the Commission's review of conditions at Manhattan Psychiatric Center (MPC). This review began as an outgrowth of the Commission's Mental Hygiene Medical Review Board reviews of patient deaths at MPC in 1979, which raised questions regarding management and treatment practices at the facility. In April of 1980 our findings were shared with the Office of Mental Health and MPC and a plan of correction was developed. During 1981, Commission staff conducted a follow-up on the implementation through a second in-depth review at Manhattan Psychiatric Center.",
June 1980 ,Quality of Care,A Review of the Barbara Downes Family Care Home,"The Commission undertook the review of the Barbara Downes family care home, supervised by Binghamton Psychiatric Center, following the death of Cleo B., a resident of the home who was struck by a truck while crossing the road on the morning of October 8, 1979. Allegations of inadequate supervision and inappropriate medication practices in the home prompted the Commission to initiate a separate review of the home itself. These allegations were brought to the Commission's attention by Binghamton Psychiatric Center's Board of Visitors, which raised concerns over the supervision and medication practices in the home.",
Jul-80,Policy,A Study of the Delays in the Receipt of Medicaid Cards by Patients Discharged from Mental Hygiene Facilities,"Medicaid-eligible individuals released from State psychiatric and developmental centers have experienced lengthy delays in the receipt of Medicaid cards, which adversely affect their access to needed services in the community and, at the same time, inappropriately reduce federal financial participation in the cost of these services. This Commission study is of the Medicaid card issuance process to determine the causes and effects of such delays. The report reflects conditions found to exist from 1976 through early 1979 -- the period in which the sample population experienced delays in the receipt of Medicaid cards.",
July 1987,Abuse & Neglect,Abusing the Unprotected: A Study of the Misuse of Aversive Behavior Modification Techniques and Weaknesses in the Regulatory Structure,"This report is on the Commission's investigation of the misuse of aversive behavior modification techniques, resulting in mistreatment of residents at Opengate, Inc., an Intermediate Care Facility for the Mentally Retarded (ICF-MR) in Somers, New York",
April 1988,Policy,Admission and Discharge Practices of Psychiatric Hospitals: A Report to the New York State Legislature Pursuant to Chapter 50 of the Laws of 1987,"This study, mandated by the Legislature, of the admission and discharge practices of inpatient psychiatric facilities demonstrates how New York State spends more money on mental health services than any other state, yet it does not have a system that responds well to the needs of patients and their families.",
Aug-2002,Fiscal Invesigation,Adult Homes Serving Residents with Mental Illness: A Study of Layering of Services,"This report described a common condition of multiple practitioners and providers – primary care and specialty physicians, medical and mental health clinics, private psychiatrists, nursing services and home health care aides – located on-site in adult homes and acting independently of each other. The open-ended expansion of services, rendered to a captive adult home population, invites in intensity of care which is expensive, uncoordinated and, in some cases unnecessary",
Oct-94,Quality of Care,"Adult Homes Serving Residents with Mental Illness: A Study of Conditions, Services and Regulations",,
Mar-79,Death Investigations,Allegations without Substantiation: An Investigation into Charges by the Rockland County Medical Examiner,"This investigation by the Commission determined that charges of numerous drug-related deaths at Rockland Psychiatric Center and Letchworth Village Developmental Center are ""totally without substantiation and made with no basis in medical examination or fact.""",
Jan-82,Abuse & Neglect,An Investigation of Selected Incidents at the Otsego School,"This is a report of the Commission on its investigation into allegations and incidents at the Otsego School (now known as Pathfinder Village), a private school certified by the Office of Mental Retardation and Developmental Disabilities. The investigation by the Commission was undertaken following allegations of abuse and other irregularities in the school's operations by a former employee of the school.",
Apr-96,Policy,Breaking with the Past: How New York's Private Psychiatric Hospitals Have Managed Since Managed Care,"This study of private psychiatric hospitals in New York State suggests that implementing successful managed care initiatives at private psychiatric hospitals may offer a cost-effective alternative for children and elderly patients housed in state institutions, while providing potential annual savings of some $14 million in reduced Medicaid payments through reduced lengths of stay, without adverse effect on patient care.",
Aug-94,Quality of Care,Care and Treatment for Persons with Multiple Disabilities: A Progress Report,"Care and treatment for individuals with both a developmental disability, such as mental retardation and a psychiatric diagnosis, have improved significantly over the years as many dually-diagnosed individuals have moved to special units called multiply-disabled units (MDUs), where they are better able to learn to control undesirable behavior and develop new skills. The Commission's study of eight MDUs, in both state psychiatric centers operated by the State Office of Mental Health (OMH) and developmental centers operated by the State Office of Mental Retardation and Developmental Disabilities (OMRDD), indicates that since 1978 over 2,000 psychiatric center patients have been transferred to MDUs at developmental centers, which the Commission found better equipped to meet their needs and prepare them to live outside institutions. The Commission report recommended transfer of all dually-diagnosed individuals who are psychiatrically stable to the OMRDD programs.",
Dec-87,Policy,Child Abuse and Neglect in New York Mental Hygiene Facilities,"This report, on one of the first studies on reports of child abuse and neglect in State mental hygiene facilities, found that children residing in mental health facilities are a high risk group for abuse and neglect with a rate of reports more than twice as high as for children in the general population",
Feb-92,Abuse & Neglect,Child Abuse and Neglect in NYS Office of Mental Health and Office of Mental Retardation and Developmental Disabilities Residential Programs,"This report of a three-year study called for greater efforts to be made to ensure the protection of children in residential mental hygiene facilities who surface as ""repeat"" alleged victims in child abuse and neglect reports to the State Central Register. At the same time, the Commission noted that, contrary to the common images of battered children, sadistic abuse or gross neglect of basic needs that the terms ""child abuse and neglect"" conjure up, in over two-thirds of the reports filed there was no reported physical injury to the child, and in another 25 percent of the cases the injury was treated with first aid. Six percent of the cases involved more serious injury and two cases involved cases involved the death of a child.",
Jan-85,Death Investigations,Christopher Dugan - A Patient at South Beach Psychiatric Center,"There is an urgent need for the State Office of Mental Health to conduct clinical research on the phenomenon of sudden deaths among young and agitated, but otherwise healthy,  psychiatric center patients, according to this Commission report on the death of a patient at South Beach Psychiatric Center (SBPC) during the process of being restrained. The Commission noted concern that eight able-bodied SBPC male staff trained in management of aggressive patients could not manage an out-of-control delusional patient.                                                             ",
Oct-80,Policy,"Converting Community Residences into Intermediate Care Facilities for the Mentally Retarded: Some Cautionary Notes, (ICF-MR)",This is a Commission report on a fiscal and programmatic review of the Office of Mental Retardation and Developmental Disabilities' initiative to convert community residences into Intermediate Care Facilities for the Mentally Retarded (ICF/MR).,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmn.gov%2Fmnddc%2Fparallels2%2Fpdf%2F80s%2F88%2F88-AAN-CJS.pdf&psig=AOvVaw1rURSiJwTV0XJxgNbgAhOV&ust=1747842021699000&source=images&cd=vfe&opi=89978449&ved=0CAQQn5wMahcKEwiI24j1srKNAxUAAAAAHQAAAAAQBA
Nov-99,Policy,In the Matter of David Dix,"This is a commission report of its investigation into the quality of mental health services provided to a patient discharged from a psychiatric hospital, following which he allegedly pushed the young woman to her death in front of an oncoming subway train in New York City. The report makes recommendations for improving the care provided to individuals who are seriously and persistently mentally ill and whose histories include behaviors that are dangerous to themselves and others.",
Apr-97,,"Could This Happen in Your Program? A Collection of Case Studies Provoking Reflection, Discussion, and Action",,
Jan-99,Fiscal Investigation,"Exploiting Medicaid Through A Shell Not-For-Profit Corporation: The Case of Special Needs Program, Inc.",This investigation describes the scheme perpetrated by a married couple to exploit a not-for-profit mental hygiene agency by usurping control of its Board of Directors and improperly using its money for personal gain.,
Aug-98,Fiscal Investigation,"Diverting Public Funds: The Misguided Mission of the Indepndent Living Center of Amsterdam, Inc.","This investigation uncovered an improperly established and operated retirement community for middle and upper income senior citizens through a closely held not-for-profit corporation, and involved the inappropriate and inefficient use of Medicaid funds which also jeopardize the investments of the elderly residents.",
Jul-94,Fiscal Invesitgation,Crossing the Line from Empowerment to Neglect: The Case of Project L.I.F.E,"The Commission's investigation identified serious problems affecting the health and safety of the residents of a supportive community residence program administered by Project L.I.F.E., which operates sixty apartments in Manhattan and the Bronx for seventy- two persons with developmental disabilities.",
Apr-93,Policy,Discharge Planning Practices of General Hospitals: Did Incentive Payments Improve Performance?,This report follows a yearlong study of the discharge practices of 10 hospitals across the State during which it retraced the experiences of a random sample of 100 patients admitted to and discharged from these facilities. The study was requested by the Office of Mental Health and the State Hospital review and Planning Council to evaluate the effectiveness of new inpatient and outpatient reimbursement methodologies that provided incentive payments of approximately $20 million to hospitals and community mental health programs to improve the care of seriously mentally ill patients.,
Aug-88,Policy,Discharge Practices of Inpatient Psychiatric Facilities,"This Commission report concludes that, although inpatient psychiatric facilities devote considerable resources to discharge planning for patients, these efforts are often in vain because critical steps and follow up are not assured. As a result, discharged patients often do not receive the services they need and many lose contact with the mental health system. The Commission studied 60 patients discharged from five New York City metropolitan area inpatient psychiatric facilities who were followed for a six-month period.",
Mar-85,Advocacy,Enhancing Family Support Services for the Developmentally Disabled: Commission Comments on OMRDD Actions Pursuant to Chapter  50 of the Laws of 1984,"This is a report of the Commission's review, pursuant to Chapter 50 of the Laws of 1984, of action taken to implement the Legislature's mandate to New York State Office of Mental  Retardation and Developmental Disabilities (OMRDD) to expand provision of State outpatient service delivery to clients living at home through the reallocation of existing outpatient resources. The Commission's review indicates that OMRDD has taken limited action to implement the Legislature's directives.",
Jun-92,Fiscal Invesigation,Exploiting the Vulnerable: The Case of HI-LI Manor Home for the Aged and Regulation by the NYS Department of Social Services,A two-year-long investigation by the Commission uncovered the diversion of millions of dollars in public funds intended for the care of mentally ill residents of a 125-bed adult home in Queens operated by the Hebrew Academy of the Five Towns and Rockaway (HAFTR) and licensed by the New York State Department of Social Services.,
Aug-93,Death Investigations,Falling Through the Safety Net: "Community Living" in Adult Homes for Patients Discharged from Psychiatric Hospitals,"A report on two deaths involving long-term psychiatric center residents discharged to chronically deficient adult homes prompted a call for psychiatric center staff to comply with laws on discharge planning and follow-up, and for a coordinated ""safety net"" of residential and support services in the community for patients leaving state psychiatric centers.",
Oct-79,Quality of Care,Family Care for the Mentally Ill: The Unfulfilled Promise,"Criticizing the Buffalo family care program for psychiatric patients as unrealistic and poorly administered, this Commission report asserted that for most psychiatric patients at that facility family care is a dead end where the quality of patient care can best be characterized as neglectful.",
Mar-81,Quality of Care,Family Care Revisited: Buffalo Psychiatric Center Family Care Follow-up Study,"This Commission report is on its follow-up of the family care program at Buffalo Psychiatric Center (BPC). For nine months during 1979, the Commission conducted a comprehensive review of BPC's family care program in response to both expressions of community concern at Commission hearings and the Office of Mental Health request for independent scrutiny of the program following published reports of various problems affecting the quality of care.",
May 1982,Policy,Financing the Deficits of Community Mental Health   Centers: A Case of Misplaced Incentives,"Criticizing the State laws requiring the allocation of State aid to community mental health programs based on their operating deficits as inherently inefficient and replete with incentives for diversion of public funds away from their intended purpose, this Commission report urged the State to abandon its present method of annually distributing almost $100 million in mental health local assistance funds to municipalities.",
Sep-85,Death Investigations,In the Matter of Florence Austin - An Outpatient at Elmira Psychiatric Center,"This investigation into the death of a mentally ill patient at a community hospital resulted in a recommendation that hospital should have internal processes to ensure careful decision-making when considering whether to forego aggressive efforts to sustain life. Such decisions should include informed consent by the patient, a guardian or the patient's surrogate.",
Jun-89,Death Investigations,In the Matter of Francis Helms,"This report demonstrates how unfocused service planning, poor interagency coordination, and a lack of follow-up can subvert the mission of agencies responsible for protecting vulnerable adults. A mentally retarded beneficiary of a $200,000 trust fund under a conservatorship was kept locked in a small, filthy, barren room in a frail, elderly woman's home for the last years of his life. He died as a result of neglect and deprivation because local social services and mental retardation offices, as well as court-appointed conservators and a community-based physician, all failed in their duties, leaving him to spend his last days sitting on a commode, with little or no stimulation, while his few social skills deteriorated from disuse.",
Sep-95,Policy,"Governance of Restraint and Seclusion Practices by NYS Law, Regulation, and Policy","The Commission's study of the use of restraint and seclusion in New York State psychiatric facilities, requested by the Legislature, outlines the confusion and gaps resulting from the four sets of inconsistent, contradictory, and duplicative directives on restraint and seclusion contained in state law, state regulations, the policies of the State Office of Mental Health (OMH), and in standards issued by the Joint Commission on Accreditation of Health Care Organizations (JCAHO). It concludes with recommendations to the Legislature and OMH to both streamline and improve the administration of restraint and seclusion in psychiatric facilities.",
Jun-86,Death Investigations,In the Matter of Hilda Norton - A Patient at Central Islip Psychiatric Center,"In this case, a 70-year-old patient died in October 1983 of complications six months following surgery to correct a hip fracture. The report chronicles a six-month period of unexplained delays, inadequate pre- and post-operative medical care, and poor follow-up medical and nursing care at both Central Islip and Pilgrim Psychiatric Centers, during which the patient developed many severe and infected bedsores, and suffered a serious weight loss which was untreated. Fragmented care, with no single physician having responsibility for medically monitoring and coordinating the care of the patient, was found to have resulted in both the inattention to her medical needs which led to her progressive deterioration, and in the delay in transferring her back to Central Islip Psychiatric Center until it was too late to save her life.",
Nov-80,Death Investigations,In the Matter of Aaron Maxwell - A Resident of Rome Developmental Center,"This is a report of a resident of Rome Developmental Center (RDC) who died following surgery. The report recommends that RDC take steps to ensure coordination among treating physicians of various specialties whenever elective surgery upon a resident is contemplated, and that all standard diagnostic procedures be utilized in deciding upon the course of treatment for mentally retarded patients. The report also recommends: that facility physicians, including the treating psychiatrist, meet with the consulting surgeon in cases involving elective surgery and reach agreement on the need for surgery; that second opinions be obtained in cases of elective surgery; that assessments by outside consultants be based upon more than a single patient visit; and, that following the recommendation of an outside consultant, surgery be done in a timely manner, with the need for surgery to be reassessed in cases of significant time lapse.",
Apr-83,Death Investigations,In the Matter of Agnes Moro - A Patient at Manhattan Psychiatric Center,"The investigation by the Commission was undertaken as part of the Commission and Board's ongoing responsibility to review all deaths of mentally disabled persons, and also  a follow up to the Commission's report on medical care practices at Manhattan Psychiatric Center [A Review of Selected Aspects of Patient Care, Manhattan Psychiatric Center 1979-81, May 1982].                                                      ",
May-82,Death Investigations,In the Matter of Alex Zolla - A Patient at South Beach Psychiatric Center,"This patient died in restraint. The patient was a 17-year-old obese male with previous psychiatric admissions and a history of resistance to treatment including violent outbursts. However, the patient died within two days of his admission without any prior indication that he was suffering from a life threatening condition. The cause of death was determined to be myocarditis, acute heart failure.",
Jul-80,Death Investigations,In the Matter of Alice S. - A Resident of Craig Developmental Center,"The report recommends that the developmental center negotiate with the local general hospital, upon which it relies for medical care, to ensure provision of proper post- operative care for the developmental center clients. The developmental center was also urged to clarify of its medical unit as an infirmary providing skilled nursing care, rather than an acute medical care hospital. It was further recommended that the developmental center work with the general hospital to dispel myths and provide education about the nature of both retardation and epilepsy.",
Nov-79,Death Investigations,In the Matter of Allen S. - A Patient at Manhattan Psychiatric Center,"Following an investigation into the circumstances surrounding the death of a 38-year-old patient at Manhattan Psychiatric Center, the Commission's report concluded that ""indifferent medical and nursing care and gross physical abuse"" contributed to his death. As a result of the investigation, disciplinary actions were commenced by the State Office of Mental Health against three employees and five professional staff have received warnings. In addition, significant improvements were in the education and training of employees.",https://www.nytimes.com/1980/02/07/archives/gross-physical-abuse-is-blamed-for-manhattan-mental-patients-death.html
Mar-81,Death Investigations,In the Matter of Alphonse Rio - A Patient at South Beach Psychiatric Center,"The Commission and its Mental Hygiene Medical Review Board investigation into this case found that, while there may have been a necessity to place this patient in a camisole for prolonged periods during his stay on the intensive care unit, there was no documentation by a physician justifying its use. More disturbing was the evident failure of the psychiatric resident to examine the patient prior to authorizing the use of a camisole. This physician had attended to the patient earlier in the day when he was found to be perspiring, hyperventilating and agitated. He knew, or should have known, of the temperature control problems being experienced by the unit. In this case the medical rationale for medication doses exceeding Department of Mental Hygiene Drug Manual guidelines also was not subject to appropriate consultation, consent and documentation; medication orders were not clearly written and conditions for administration were not coordinated with nursing staff.",
Apr-80,Death Investigations,In the Matter of Cheryl J. - A Patient at Greenwood Rehabilitation Center,"This is a report on the Commission and its Mental Hygiene Medical Review Board's investigation into the death of Cheryl J. [a pseudonym], a patient at Greenwood Rehabilitation Center, a private school for the mentally retarded. The report recommends that the Greenwood Rehabilitation Center provide its staff with adequate training in resuscitation and first aid, and that emergency equipment be made more accessible. It was recommended that the Office of Mental Retardation and Developmental Disabilities review the medical emergency response capabilities of each of the State's private schools for the mentally retarded.",
Sep-81,Death Investigations,In the Matter of Eileen Alenza - A Resident of Bronx Developmental Center,"The Commission concluded the death could have been avoided. Responsibility was shared by the direct care staff on duty the day she died. Staff's failure to monitor her closely, even after her third disappearance within a relatively brief period of time, was one factor responsible for Miss Alenza being able to leave the unit undetected and for her eventual fall from the fifth floor terrace to her death.",
Mar-82,Death Investigations,In the Matter of Faye Trina - A Resident of Brooklyn Community Residence Operated by Brooklyn School for Special Children, The Commission report illustrates the consequences of permitting untrained and unqualified persons to operate and staff a residential program for the developmentally disabled. Investigation findings disclosed that 9 developmentally disabled residents were left in the sole custody of an untrained 18-year-old relief staff person who was working a 16-hour shift and whose only previous work experience had been with the physically handicapped. All other staff of this residence had received little or no training after being hired. This was compounded by a lack of supervision of such staff and the lack of a formal supervisory on-call system for emergencies.,
Aug-81,Death Investigations,In the Matter of Frank Darby - A Resident at Craig Developmental Center,"The report recommends: that the State Office of Mental Retardation and Developmental Disabilities retain independent consultation to review the quality of medical care at Craig Developmental Center; that developmental center physicians seek hospital consultation promptly on behalf of seriously ill developmental center clients; that the developmental center create a mechanism to assure the transfer of patient information in a more thorough manner, to include client medical care; that mortality reviews include all staff, especially physicians, involved in a client's care and treatment; and, that the conduct of physicians who failed to provide adequate medical attention to the deceased in this case be referred to the Board of Professional Medical Conduct of the Department of Health for review.",
Jun-81,Death Investigations,In the Matter of Fred Zimmer - A Patient at Kingsboro Psychiatric Center,"Although the patient died as a direct result of being restrained following an assault upon staff of the facility, the Commission report concludes that ""there was no evidence of intent to abuse or to inflict harm upon the deceased patient.""",
Aug-95,Death Investigations,In the Matter of Jacob Gordon: Facing the Challenge of Supporting Individuals With Serious Mental Illness in the Community,"This report portrays the dilemmas and challenges posed by treatment resistant patients living in the community, particularly when their care is fragmented among a host of service providers. The report presents the services rendered by the various care providers involved in Mr. Gordon's life and how he still fell through the cracks due to his resistiveness and the poor coordination of service, which cost more than $140,000 in Medicaid dollars alone in the last three years of his life.",
Feb-82,Death Investigations,In the Matter of Janice Sherman - A Patient at South Beach Psychiatric Center,"This is a report on the Commission and its Mental Hygiene Medical Review Board's investigation into the death of Janice Sherman [a pseudonym], a 19 year old patient at South Beach Psychiatric Center who died in restraint for agitation. She had a history of multiple psychiatric hospitalizations since the age of 15 following a suicide attempt, and unquestionably posed a severe treatment challenge to the staff of the psychiatric center. But, in attempting to cope with the patient's agitated behavior, on numerous occasions both the State Mental Hygiene Laws and the Office of Mental Health regulations governing the use of restraints and seclusion were disregarded.",
Oct-82,Death Investigations,In the Matter of Jason Price - A Patient of Brookdale Hospital Medical Center,The Medical Review Board noted that this death was one of more than a dozen undetermined deaths across the state of young agitated persons receiving psychotropic medication.,
Oct-81,Death Investigations,In the Matter of Jeffrey Roland - A Patient at Rochester Psychiatric Center,"In their review, the Mental Hygiene Medical Review Board stated this unfortunate case was representative of ""a series of errors back and forth...a problem of communication."" The physicians on the Board noted that this case also raises questions about patients who decompensate frequently and postulated that, ""treating them from a base in a hospital rather than returning them to the community"" might prove to be more beneficial. This case depicts clinical chaos which culminated in a patient's falling through the cracks despite an overabundance of therapists and a variety of services.",
Dec-93,Death Investigations,In the Matter of Joan Stalker: A Study of the Need for Vigilant Monitoring of Family Care Homes,"This report chronicles the effects of the absence of proper monitoring by agencies which sponsor and certify individuals who undertake to serve mentally disabled persons. The agencies failed to detect an illegal and overcrowded family care home, as well as inappropriate discharges from state psychiatric centers to a home certified only for individuals with mental retardation, and failed to ensure the safety and well-being of residents at the home, where the deceased died under possibly abusive conditions, following earlier allegations of abuse.",
Jan-79,Death Investigations,In the Matter of Joel G. - A Resident of Rockland Psychiatric Center,"The Commission and its Mental Hygiene Medical Review Board disagreed with earlier findings by the Chief Medical Examiner of Rockland County that this death was caused by ""cardiac and respiratory arrest due to the aspiration of gastric contents."" Instead the Commission and Medical Review Board concluded that death resulted from an epileptic seizure",
Sep-79,Death Investigations,In the Matter of John D. - A Patient at Kingsboro Psychiatric Center,"The patient had been found unconscious on the grounds of Kings County Hospital, a municipal facility in Brooklyn where he was being treated at the time.",
Dec-82,Death Investigations,In the Matter of John Meginn - A Resident at Craig Developmental Center,"The Board criticized not only the surgeon for his recalcitrant attitude in accepting this case, but also the Craig Developmental Center physician, and stated that as a licensed practicing physician, he had a responsibility to assure that his patient was receiving the appropriate level of care. The Board observed that it is not accepted medical practice that permission be sought from attending physicians in order to utilize a hospital's emergency service, and he abrogated his responsibility as an advocate for the mentally disabled by knowingly allowing a lesser level of care to be afforded this client than he would have tolerated with private patients.",
